1	456	-30	0	# 1
1	87	-34	0	# 2
1	914	346	0	# 3
1	884	281	0	# 4
2	439	196	0	# 11
2	83	172	0	# 12
2	269	95	0	# 13
2	580	37	0	# 14 (please check this one, especially the y coord.)
3	599	52	0	# 21
3	937	301	0	# 22
3	292	74	0	# 23
B	286	193	0	# 31
B	360	14	0	# 32
B	860	367	0	# 33
B	397	-35	0	# 34
B	522	206	0	# 35
B	929	226	0	# 36
