B	929	226	0	# 36
1	914	346	0	# 3
3	599	52	0	# 21
2	269	95	0	# 13
1	87	-34	0	# 2
3	937	301	0	# 22 Different from Desmos
B	522	206	0	# 35
1	456	-30	0	# 1
